"siteid","spid","x","y","occ","group","bc01","bc04","bc05","bc06","bc12","bc15","bc17","bc20","bc31","bc33","slope","topo","tri"
101727,"pseudo1",310855.8252,8231367.848,0,NA,22.7,0.87,29.6,14.9,2126,93,108,18.8,47,0.22,8.726495,56,194.1185
101728,"pseudo1",363175.8252,8130007.848,0,NA,24.3,0.81,31.2,16.1,2041,96,98,18.8,51,0.2,4.427744,4,564.0568
101729,"pseudo1",446615.8252,7869367.848,0,NA,22.5,1.06,30.7,12.3,1135,108,46,19.6,64,0.12,41.98967,79,1122.059
101730,"pseudo1",392615.8252,7924807.848,0,NA,21.1,1.07,30,11.1,1338,98,71,19.4,48,0.22,30.89594,65,1239.153
101731,"pseudo1",334535.8252,8198887.848,0,NA,24.6,0.77,31,17.4,3006,87,183,18.2,34,0.37,2.372711,75,69.52697
101732,"pseudo1",451975.8252,7860647.848,0,NA,23.7,1.05,31.7,13,972,108,38,19.8,75,0.09,0.3995515,81,18.27567
101733,"pseudo1",365255.8252,7937927.848,0,NA,20.6,1.1,30,10.2,1157,93,71,19.6,48,0.22,3.510704,40,169.7174
101734,"pseudo1",354775.8252,8047607.848,0,NA,20.4,0.9899999,29.1,10.7,2507,70,214,18.3,16,0.69,7.59092,17,382.6265
101735,"pseudo1",319735.8252,8209207.848,0,NA,23.3,0.84,30.1,15.5,2731,86,165,18.3,35,0.35,4.210147,41,216.1412
101736,"pseudo1",267975.8252,8210887.848,0,NA,21.4,0.96,29.5,11.8,1073,108,30,19.8,76,0.07,27.65461,53,473.561
101737,"pseudo1",368135.8252,7990167.848,0,NA,20.6,1.03,29.4,10.8,1647,87,128,19,32,0.4,12.45617,40,366.3646
101738,"pseudo1",273415.8252,8183847.848,0,NA,21.4,0.96,29.8,11.4,925,111,0,20,81,0.06,21.48792,8,732.1291
101739,"pseudo1",319495.8252,8170647.848,0,NA,20.5,0.93,28.6,11.5,1627,92,90,19.1,47,0.22,31.65509,18,1183.021
101740,"pseudo1",346135.8252,7995687.848,0,NA,20.4,1.06,29.6,10.1,1266,83,91,19.5,39,0.32,2.244888,0,417.1954
101741,"pseudo1",344455.8252,8158007.848,0,NA,23.6,0.82,30.7,15.4,1735,100,77,19.1,57,0.16,49.63602,33,1151.214
101742,"pseudo1",267735.8252,8221927.848,0,NA,21.2,0.96,29.2,11.8,1178,106,37,19.6,72,0.08,19.4238,23,383.7773
101743,"pseudo1",329735.8252,8149767.848,0,NA,21.1,0.93,29.3,11.7,1402,99,65,19.4,56,0.15,20.75705,78,528.4951
101744,"pseudo1",330695.8252,8223927.848,0,NA,20.1,0.89,27.5,12.9,2864,80,223,18.2,23,0.56,8.928564,36,405.2
101745,"pseudo1",376295.8252,8061527.848,0,NA,23.1,0.91,30.8,14,3382,78,273,17.9,16,0.69,16.3294,91,538.0762
101746,"pseudo1",340855.8252,8083927.848,0,NA,19.4,0.98,28.3,9.900001,1634,80,113,19,33,0.39,16.32352,100,883.1178
101747,"pseudo1",351415.8252,7947927.848,0,NA,21.1,1.1,30.5,10.3,960,94,58,19.9,56,0.17,0.6532167,63,32.86335
101748,"pseudo1",335175.8252,8097527.848,0,NA,19.9,0.97,28.9,10.1,1222,96,55,19.5,54,0.16,8.182217,63,271.3043
101749,"pseudo1",398055.8252,8024887.848,0,NA,23.4,0.92,30.9,14.5,3337,77,251,17.9,17,0.67,0,50,124.8679
101750,"pseudo1",366455.8252,8060887.848,0,NA,21.3,0.95,29.6,12,3100,71,261,18,14,0.74,65.27254,64,956.756
101751,"pseudo1",369415.8252,8082887.848,0,NA,20.5,0.93,28.8,11.8,3026,71,244,18,16,0.71,12.1973,93,1010.05
101752,"pseudo1",402455.8252,7971607.848,0,NA,23.9,0.96,31.6,14.2,2105,97,106,18.8,42,0.29,0.2086515,0,6.164414
101753,"pseudo1",303655.8252,8308407.848,0,NA,24.9,0.71,31.5,17.8,1675,104,51,19.3,66,0.09999999,0.2736991,0,117.9788
101754,"pseudo1",496615.8252,7846407.848,0,NA,19.9,1.12,28.6,10.2,1445,99,88,19.1,43,0.25,56.53618,17,1716.607
101755,"pseudo1",425335.8252,7960407.848,0,NA,21.1,0.9899999,29,12.5,2504,90,163,18.4,24,0.53,33.70971,23,1340.06
101756,"pseudo1",331495.8252,8085687.848,0,NA,18,1.01,27,8.8,1933,81,134,18.7,24,0.55,12.68204,35,463.149
101757,"pseudo1",368055.8252,8126407.848,0,NA,24.4,0.81,31.3,16.4,2163,94,108,18.7,48,0.23,0.1643352,3,16.18641
101758,"pseudo1",393735.8252,7946087.848,0,NA,23.9,1,32,13.6,1811,97,95,19,47,0.24,0.2201431,0,9.591663
101759,"pseudo1",282135.8252,8210407.848,0,NA,18.5,0.96,27,10,2093,85,143,18.7,31,0.43,27.26979,37,429.0035
101760,"pseudo1",388775.8252,8088967.848,0,NA,23.8,0.84,30.8,15.7,4128,76,318,17.6,12,0.77,0,50,8.062258
101761,"pseudo1",413335.8252,7958807.848,0,NA,23.9,0.96,31.5,14.4,2082,96,110,18.8,42,0.28,0,50,1
101762,"pseudo1",318855.8252,8219847.848,0,NA,21.7,0.88,28.8,13.9,2352,87,151,18.5,36,0.35,23.95604,54,1181.822
101763,"pseudo1",379815.8252,8023207.848,0,NA,23.5,0.94,31.3,13.9,3555,74,299,17.8,13,0.75,21.62302,28,392.0536
101764,"pseudo1",310295.8252,8216407.848,0,NA,22.6,0.88,29.7,14.5,2161,91,117,18.7,45,0.25,17.52973,44,438.0902
101765,"pseudo1",394615.8252,7912167.848,0,NA,20.1,1.11,29.3,10.2,1459,98,81,19.2,41,0.28,2.185943,88,142.5026
101766,"pseudo1",487815.8252,7823047.848,0,NA,23.5,1.12,32.2,11.8,889,105,40,19.9,76,0.09,2.053791,1,92.84396
101767,"pseudo1",443175.8252,7866327.848,0,NA,23,1.06,31.2,12.6,1046,107,42,19.7,69,0.09999999,6.427158,0,683.3447
101768,"pseudo1",423415.8252,7923367.848,0,NA,24,0.9899999,31.7,14.1,1877,103,88,18.9,48,0.22,0.4349569,99,30.56141
101769,"pseudo1",467575.8252,7847687.848,0,NA,23.6,1.06,31.7,12.8,888,108,37,19.9,78,0.08,10.83426,5,634.2476
101770,"pseudo1",364375.8252,7966487.848,0,NA,21.2,1.06,30.2,10.9,1261,94,81,19.5,47,0.25,16.94923,83,867.9585
101771,"pseudo1",354935.8252,8017367.848,0,NA,19.8,1.03,28.8,10.1,2208,72,192,18.5,17,0.66,0,50,23.74868
101772,"pseudo1",422535.8252,7896167.848,0,NA,20.4,1.09,29.2,10.8,1682,102,87,19,40,0.3,48.49543,100,1016.379
101773,"pseudo1",319095.8252,8238967.848,0,NA,23.1,0.83,29.8,15.7,2272,92,117,18.7,46,0.24,3.988727,100,237.1055
101774,"pseudo1",498615.8252,7831767.848,0,NA,23.5,1.09,31.8,12.2,950,106,43,19.8,74,0.09999999,2.112875,47,116.9017
101775,"pseudo1",283975.8252,8211927.848,0,NA,18.2,0.96,26.7,9.900001,2234,84,159,18.6,28,0.48,1.599044,0,295.9578
101776,"pseudo1",451575.8252,7881847.848,0,NA,24,1.01,31.5,13.9,1246,108,49,19.4,66,0.12,0.1394014,50,13.96424
101777,"pseudo1",314375.8252,8207847.848,0,NA,23.3,0.85,30.2,15.2,2449,88,138,18.5,40,0.29,11.27881,0,352.362
101778,"pseudo1",305335.8252,8283607.848,0,NA,24.6,0.75,31.2,17.4,1654,105,54,19.3,65,0.09999999,8.736197,100,307.4378
101779,"pseudo1",355495.8252,8005767.848,0,NA,20,1.04,29.1,10.2,1828,76,151,18.8,25,0.52,12.33664,0,530.7307
101780,"pseudo1",394375.8252,8061687.848,0,NA,23.3,0.89,30.7,14.8,3461,76,261,17.8,17,0.67,0.3621245,51,14.07125
101781,"pseudo1",270055.8252,8209447.848,0,NA,21.2,0.96,29.3,11.7,1111,106,34,19.7,73,0.08,28.38523,39,506.9014
101782,"pseudo1",456135.8252,7933047.848,0,NA,23,0.95,30.1,14.4,2001,96,108,18.7,38,0.32,22.95988,100,1247.934
101783,"pseudo1",334535.8252,8090807.848,0,NA,19.1,0.98,28.1,9.6,1495,86,91,19.1,38,0.32,36.45853,78,1086.723
101784,"pseudo1",463255.8252,7877847.848,0,NA,24,1,31.2,14,1182,108,47,19.5,68,0.11,0.2426153,82,9.110434
101785,"pseudo1",468135.8252,7851527.848,0,NA,23.8,1.05,31.6,13,891,109,36,19.9,79,0.08,2.6752,4,115.1564
101786,"pseudo1",486375.8252,7864807.848,0,NA,23.9,1,31.1,14.1,1079,109,44,19.6,72,0.09999999,0.4052439,94,20.09975
101787,"pseudo1",422135.8252,7917287.848,0,NA,24,1,31.8,14,1841,105,80,19,50,0.21,0.1891675,88,7.28011
101788,"pseudo1",427095.8252,7947127.848,0,NA,23.9,0.96,31.4,14.5,2010,97,106,18.8,43,0.27,0.05959273,50,2.236068
101789,"pseudo1",405575.8252,7937847.848,0,NA,24,0.9899999,31.9,13.9,1878,100,94,18.9,47,0.24,0.3429895,41,13.34166
101790,"pseudo1",313655.8252,8183287.848,0,NA,18.2,0.96,26.5,10,2522,80,190,18.3,22,0.59,21.35555,69,685.8608
101791,"pseudo1",326535.8252,8174567.848,0,NA,24.4,0.8,31.1,16.3,2019,98,89,18.8,53,0.18,0,50,91.3838
101792,"pseudo1",292695.8252,8204087.848,0,NA,18.9,0.96,27.3,10.4,2030,86,137,18.7,33,0.39,23.80753,28,812.4672
101793,"pseudo1",322055.8252,8161767.848,0,NA,22.2,0.91,30,12.9,1277,105,51,19.6,66,0.11,2.876962,49,75.03333
101794,"pseudo1",371095.8252,8088727.848,0,NA,23.3,0.88,30.9,14.5,3157,81,229,18,23,0.55,7.457078,19,359.9625
101795,"pseudo1",369175.8252,8024247.848,0,NA,23.6,0.95,31.7,13.7,3352,74,297,17.8,15,0.71,0,50,171.3505
101796,"pseudo1",390935.8252,7977207.848,0,NA,21.9,1,30.2,12.4,2018,92,129,18.8,33,0.4,64.58458,20,1836.816
101797,"pseudo1",357175.8252,7977447.848,0,NA,23.3,1.02,32,12.5,1456,97,73,19.3,52,0.2,9.201893,0,337.5322
101798,"pseudo1",408375.8252,7937687.848,0,NA,24,0.9899999,31.8,13.9,1901,100,96,18.9,46,0.24,0.1125971,50,4.358899
101799,"pseudo1",356375.8252,7983367.848,0,NA,21.2,1.05,30.2,10.9,1221,93,79,19.5,47,0.25,9.998106,0,327.2094
101800,"pseudo1",390855.8252,7962567.848,0,NA,23.7,0.9899999,31.7,13.6,1890,97,96,18.9,45,0.26,0,50,54.88169
101801,"pseudo1",332295.8252,8096087.848,0,NA,19.5,0.98,28.6,9.8,1292,93,64,19.4,49,0.2,11.0479,29,310.258
101802,"pseudo1",269575.8252,8224887.848,0,NA,21.1,0.96,29,11.8,1227,105,41,19.6,69,0.09,18.52315,46,256.0703
101803,"pseudo1",465095.8252,7843447.848,0,NA,23.7,1.08,31.9,12.6,867,106,37,19.9,79,0.08,1.165047,61,42.52058
101804,"pseudo1",381575.8252,7979847.848,0,NA,23.5,0.98,31.6,13.4,1919,98,91,18.9,43,0.28,26.18179,11,1020.009
101805,"pseudo1",302055.8252,8306487.848,0,NA,24.5,0.73,31.2,17.4,1707,104,54,19.3,64,0.11,8.011646,99,334.9806
101806,"pseudo1",384695.8252,7972327.848,0,NA,21.1,1.03,29.6,11.5,1813,90,125,18.9,33,0.39,78.20673,35,1293.407
101807,"pseudo1",393335.8252,7957927.848,0,NA,23.9,0.9899999,31.9,13.8,1902,96,99,18.9,45,0.26,0,50,9.433981
101808,"pseudo1",317415.8252,8231287.848,0,NA,23.3,0.84,30,15.7,2332,92,120,18.7,45,0.24,7.734995,15,148.3678
101809,"pseudo1",345175.8252,8149367.848,0,NA,22.1,0.88,29.9,13.3,1688,95,88,19.1,51,0.2,0,100,73.14369
101810,"pseudo1",408935.8252,7919447.848,0,NA,24,1.01,32,13.7,1777,104,78,19,51,0.2,0.9836333,1,33.92639
101811,"pseudo1",413335.8252,7933607.848,0,NA,24,0.9899999,31.8,14,1904,101,94,18.9,47,0.24,0.1510195,12,8.306623
101812,"pseudo1",306455.8252,8248647.848,0,NA,21.4,0.89,28.6,13.7,2141,90,129,18.7,42,0.28,11.85828,0,718.463
101813,"pseudo1",469175.8252,7870167.848,0,NA,23.9,1.01,31.1,13.8,1089,109,43,19.6,71,0.09999999,1.742066,7,74.10803
101814,"pseudo1",305415.8252,8179927.848,0,NA,19.4,0.96,27.7,10.5,1820,88,113,18.9,38,0.32,19.22104,0,757.0416
101815,"pseudo1",327575.8252,8160087.848,0,NA,22.1,0.9,29.9,12.9,1378,102,60,19.4,61,0.13,11.24991,47,150.1999
101816,"pseudo1",412615.8252,7945847.848,0,NA,23.9,0.98,31.6,14.1,1991,98,103,18.8,44,0.26,0,50,0
101817,"pseudo1",353735.8252,8047127.848,0,NA,20.2,0.9899999,28.9,10.5,2474,70,212,18.3,16,0.69,22.84577,73,374.1404
101818,"pseudo1",377015.8252,7962407.848,0,NA,23.1,1.01,31.6,12.8,1596,98,80,19.2,49,0.23,24.5828,100,1133.525
101819,"pseudo1",362935.8252,8012247.848,0,NA,22.6,0.9899999,31.1,12.5,2318,80,181,18.4,25,0.51,9.827597,100,610.9231
101820,"pseudo1",390615.8252,7982407.848,0,NA,23.9,0.96,31.8,14,2078,99,94,18.8,42,0.28,0,50,0
101821,"pseudo1",406055.8252,7980327.848,0,NA,23,0.96,30.7,13.7,2297,94,133,18.6,33,0.39,39.83918,51,830.598
101822,"pseudo1",301335.8252,8290567.848,0,NA,24.9,0.73,31.5,17.7,1619,106,49,19.3,67,0.09,0.3770209,40,10.53565
101823,"pseudo1",377735.8252,8022487.848,0,NA,23.7,0.94,31.5,14,3490,75,294,17.8,14,0.72,1.813537,0,51.9519
101824,"pseudo1",373015.8252,7937687.848,0,NA,21,1.08,30.1,10.7,1205,95,71,19.6,49,0.21,6.179552,14,158.4992
101825,"pseudo1",387415.8252,8100567.848,0,NA,24,0.82,30.9,16.1,3425,81,240,17.9,22,0.57,5.300068,0,651.03
101826,"pseudo1",362935.8252,8034327.848,0,NA,21.5,0.98,30,11.8,2583,74,217,18.2,18,0.65,32.0627,78,1037.532
101827,"pseudo1",353415.8252,8109767.848,0,NA,18.3,0.96,26.8,9.900001,2825,75,224,18.1,12,0.76,7.007953,17,429.8977
101828,"pseudo1",468935.8252,7845447.848,0,NA,23.7,1.07,31.8,12.8,881,107,37,19.9,78,0.08,0.2171494,68,10.86278
101829,"pseudo1",378055.8252,7916007.848,0,NA,20.7,1.11,30,10.3,1105,96,60,19.7,52,0.18,5.92309,55,106.3109
101830,"pseudo1",327015.8252,8159847.848,0,NA,22,0.9,29.9,12.8,1364,102,59,19.4,62,0.13,4.068072,100,282.2694
101831,"pseudo1",393735.8252,7934087.848,0,NA,24,1.01,32.2,13.5,1694,101,83,19.1,51,0.2,0.1439067,0,9
101832,"pseudo1",362775.8252,8131447.848,0,NA,24.4,0.81,31.3,16.2,2025,97,96,18.8,52,0.2,0,50,16.94107
101833,"pseudo1",387975.8252,7980967.848,0,NA,23.8,0.97,31.8,13.9,2025,99,91,18.8,43,0.27,1.782002,37,49.23413
101834,"pseudo1",404935.8252,7959447.848,0,NA,21.8,1,29.9,12.5,2065,94,122,18.8,34,0.38,45.51538,21,768.6033
101835,"pseudo1",370695.8252,8042807.848,0,NA,20.8,0.97,29.2,11.6,3116,71,274,17.9,10,0.81,38.8459,100,1108.526
101836,"pseudo1",484775.8252,7828807.848,0,NA,23.6,1.1,32,12.1,901,105,41,19.9,76,0.09,0.4230624,100,15.81139
101837,"pseudo1",367495.8252,7927127.848,0,NA,20.9,1.11,30.3,10.4,1053,95,59,19.8,54,0.18,9.790381,14,281.7978
101838,"pseudo1",474615.8252,7869447.848,0,NA,23.9,1,31,13.9,1090,109,43,19.6,71,0.09999999,0.1988242,37,9.380832
101839,"pseudo1",367415.8252,8030967.848,0,NA,21.2,0.98,29.7,11.7,2690,73,230,18.2,15,0.7,22.3697,64,829.7602
101840,"pseudo1",327655.8252,8173367.848,0,NA,23.6,0.83,30.6,15.3,1840,99,82,19,55,0.17,35.54189,77,970.1613
101841,"pseudo1",344215.8252,8026167.848,0,NA,19.5,1.04,28.7,9.6,1921,74,155,18.7,22,0.58,5.119741,99,156.1826
101842,"pseudo1",373975.8252,8034007.848,0,NA,21.4,0.97,29.6,12.1,2994,74,257,18,12,0.76,16.19565,80,920.5227
101843,"pseudo1",389735.8252,8015767.848,0,NA,21.6,0.97,29.7,12.7,2942,78,237,18.1,14,0.71,21.96874,86,1061.886
101844,"pseudo1",374455.8252,8075927.848,0,NA,15.4,1.02,24.1,8.1,6696,64,662,17,0,1,10.2997,100,1739.928
101845,"pseudo1",364695.8252,8004247.848,0,NA,22.4,1,30.9,12.3,2060,84,150,18.6,30,0.45,23.77921,97,732.2145
101846,"pseudo1",432295.8252,7882967.848,0,NA,19.5,1.12,28.6,10,1965,99,110,18.8,30,0.43,33.95414,100,862.7137
101847,"pseudo1",452055.8252,7871207.848,0,NA,23.7,1.03,31.4,13.4,1102,108,43,19.6,70,0.09999999,3.982133,31,454.3809
101848,"pseudo1",298615.8252,8237687.848,0,NA,20.4,0.92,28,12.3,2115,88,141,18.7,37,0.33,44.40931,25,1212.453
101849,"pseudo1",381175.8252,8106647.848,0,NA,23.3,0.84,30.4,15.4,2974,83,200,18.1,27,0.48,27.12577,32,948.5499
101850,"pseudo1",342215.8252,8141847.848,0,NA,22.4,0.89,30.3,13.2,1327,104,57,19.5,64,0.12,6.708966,21,110.6662
101851,"pseudo1",357415.8252,8086647.848,0,NA,19.8,0.95,28.3,10.8,2086,77,154,18.6,26,0.5,9.017672,83,247.3196
101852,"pseudo1",499175.8252,7852247.848,0,NA,22.4,1.05,30.3,12.6,1128,107,54,19.5,64,0.13,11.40765,10,760.9264
101853,"pseudo1",408375.8252,7913927.848,0,NA,23.5,1.03,31.7,13.2,1652,105,72,19.1,53,0.19,41.91386,12,1458.621
101854,"pseudo1",305335.8252,8173127.848,0,NA,19.8,0.96,28.2,10.7,1586,92,88,19.1,46,0.23,15.1329,57,1229.93
101855,"pseudo1",348375.8252,8073687.848,0,NA,19.8,0.98,28.6,10.3,2000,74,156,18.6,25,0.52,17.40086,29,293.6256
101856,"pseudo1",478695.8252,7842567.848,0,NA,23.7,1.07,31.7,12.7,919,107,40,19.8,77,0.09,0.3235346,5,24.83949
101857,"pseudo1",363095.8252,8100887.848,0,NA,23.7,0.87,31.2,14.6,2269,92,127,18.6,41,0.29,20.53543,55,294.3213
101858,"pseudo1",335015.8252,8057687.848,0,NA,18.9,1.02,28,9.2,1466,81,103,19.1,32,0.41,1.506837,2,62.55398
101859,"pseudo1",407815.8252,7954487.848,0,NA,21.9,1.01,30,12.5,2055,95,118,18.8,35,0.36,38.91904,9,1225.135
101860,"pseudo1",327575.8252,8233927.848,0,NA,23.4,0.81,29.9,16.2,2632,89,149,18.5,39,0.31,0.86197,0,235.9513
101861,"pseudo1",260055.8252,8197047.848,0,NA,19.4,0.98,28.2,9.900001,1452,96,71,19.3,52,0.18,12.81234,61,522.337
101862,"pseudo1",308375.8252,8239047.848,0,NA,21.1,0.9,28.4,13.3,2222,88,143,18.6,38,0.32,17.0372,67,402.5618
101863,"pseudo1",371255.8252,8002887.848,0,NA,23.7,0.97,31.8,13.6,2452,88,155,18.4,28,0.46,2.79621,10,92.67686
101864,"pseudo1",383495.8252,7994007.848,0,NA,22.9,0.98,31,13.2,2255,91,139,18.6,31,0.43,10.99269,25,731.9358
101865,"pseudo1",373415.8252,8039287.848,0,NA,20.9,0.97,29.2,11.8,3134,71,275,17.9,9,0.82,40.46856,50,1172.183
101866,"pseudo1",318695.8252,8164167.848,0,NA,20.8,0.93,29,11.6,1430,97,69,19.3,54,0.17,31.40557,0,890.0489
101867,"pseudo1",399335.8252,8033767.848,0,NA,23.5,0.91,30.9,14.7,3344,77,248,17.9,17,0.66,0,50,0
101868,"pseudo1",371175.8252,8105367.848,0,NA,23.2,0.86,30.6,14.7,2565,87,161,18.4,34,0.38,27.20021,32,1199.907
101869,"pseudo1",361175.8252,8022087.848,0,NA,20.6,1.01,29.4,10.9,2305,73,197,18.4,18,0.64,46.72414,100,1479.267
101870,"pseudo1",376695.8252,8096887.848,0,NA,20.4,0.91,28.4,12.3,3029,74,234,18,17,0.68,61.45118,76,1376.916
101871,"pseudo1",458295.8252,7880007.848,0,NA,23.9,1,31.3,13.9,1217,108,48,19.5,66,0.12,0.183758,86,7.141428
101872,"pseudo1",266615.8252,8202567.848,0,NA,21.4,0.96,29.6,11.7,1005,109,26,19.9,78,0.06,6.804902,22,167.7021
101873,"pseudo1",363415.8252,8137047.848,0,NA,24.5,0.8,31.3,16.6,2026,96,97,18.8,52,0.2,0.04599675,50,1.414214
101874,"pseudo1",435575.8252,7877847.848,0,NA,20.6,1.1,29.4,10.8,1480,104,71,19.2,46,0.23,27.77969,38,474.8358
101875,"pseudo1",383175.8252,7948167.848,0,NA,23.6,1.02,31.9,13.1,1613,99,81,19.2,51,0.21,3.533684,0,407.1928
101876,"pseudo1",303735.8252,8191447.848,0,NA,19.6,0.95,27.8,10.9,1848,88,116,18.9,38,0.31,48.69509,0,1157.771
101877,"pseudo1",439655.8252,7877287.848,0,NA,22.9,1.05,31,12.7,1191,107,48,19.5,64,0.12,19.48065,0,1465.842
101878,"pseudo1",437735.8252,7866007.848,0,NA,20.8,1.12,29.7,10.7,1286,105,58,19.5,52,0.18,10.3062,83,407.8505
101879,"pseudo1",351175.8252,8121287.848,0,NA,20.6,0.92,29,11.7,1636,93,87,19.1,45,0.24,57.20189,64,969.5447
101880,"pseudo1",357895.8252,8056007.848,0,NA,20.2,0.98,28.8,10.7,2790,69,243,18.1,13,0.75,1.720542,100,233.7777
101881,"pseudo1",335015.8252,8225847.848,0,NA,24.5,0.77,30.8,17.5,3104,86,183,18.2,35,0.36,10.98928,14,240.2582
101882,"pseudo1",467415.8252,7856967.848,0,NA,23.8,1.04,31.5,13.3,936,109,37,19.8,77,0.09,1.067396,0,46.71188
101883,"pseudo1",299415.8252,8274327.848,0,NA,23.2,0.83,30.1,15.6,1682,102,62,19.2,62,0.12,5.93336,100,531.8242
101884,"pseudo1",438455.8252,7858807.848,0,NA,21.9,1.1,30.7,11.5,1033,106,41,19.8,65,0.11,20.83274,0,929.3256
101885,"pseudo1",365815.8252,8098727.848,0,NA,23.6,0.87,31.1,14.7,2461,89,147,18.5,36,0.35,17.8708,5,821.8692
101886,"pseudo1",340535.8252,8150807.848,0,NA,22.1,0.89,29.9,13.2,1537,98,74,19.2,55,0.16,0,50,70.18547
101887,"pseudo1",365895.8252,8072487.848,0,NA,20.2,0.95,28.6,11.3,3336,67,291,17.8,9,0.83,9.813308,100,1187.492
101888,"pseudo1",304935.8252,8227767.848,0,NA,22.6,0.89,29.6,14.5,1946,95,93,18.9,51,0.19,5.894254,4,149.6062
101889,"pseudo1",397895.8252,8038567.848,0,NA,23.5,0.91,30.9,14.8,3365,77,250,17.9,17,0.66,0,50,0
101890,"pseudo1",359095.8252,8088167.848,0,NA,20.6,0.94,29,11.5,2128,79,151,18.6,29,0.45,0,0,392.9427
101891,"pseudo1",267495.8252,8199607.848,0,NA,21.4,0.96,29.6,11.6,993,109,26,19.9,79,0.06,13.34057,27,191.5985
101892,"pseudo1",485415.8252,7847767.848,0,NA,23.6,1.05,31.4,13,970,108,41,19.8,74,0.09,1.050267,25,57.41951
101893,"pseudo1",355015.8252,8083367.848,0,NA,19.9,0.96,28.5,10.8,1974,77,145,18.7,28,0.47,0,100,69.67783
101894,"pseudo1",380935.8252,8009367.848,0,NA,23.8,0.95,31.7,14,2982,81,221,18.1,21,0.59,0.1699476,0,6.557438
101895,"pseudo1",480055.8252,7834087.848,0,NA,23.6,1.09,31.9,12.3,907,106,41,19.9,76,0.09,0.2817701,52,25.21904
101896,"pseudo1",341975.8252,8162647.848,0,NA,23.7,0.82,30.6,15.6,1761,100,77,19.1,57,0.16,32.13831,57,1345.845
101897,"pseudo1",345735.8252,8030327.848,0,NA,19.7,1.03,28.8,9.8,2037,72,168,18.6,20,0.61,2.560653,98,162.6684
101898,"pseudo1",419895.8252,7982567.848,0,NA,23.7,0.93,31.1,14.7,2366,93,136,18.6,35,0.37,0,50,67.46851
101899,"pseudo1",300375.8252,8295767.848,0,NA,24.7,0.73,31.3,17.5,1649,105,51,19.3,66,0.09999999,3.034412,55,141.8591
101900,"pseudo1",338775.8252,8092167.848,0,NA,20,0.97,29.1,10.2,1260,94,61,19.4,51,0.18,5.599338,35,155.7048
101901,"pseudo1",359895.8252,8117447.848,0,NA,21.1,0.9,29.2,12.3,1899,89,111,18.9,39,0.3,47.18969,48,845.2893
101902,"pseudo1",345015.8252,8113367.848,0,NA,20.9,0.93,29.5,11.4,1318,100,56,19.4,57,0.15,25.9124,25,1260.193
101903,"pseudo1",370455.8252,7942087.848,0,NA,20.8,1.09,30,10.5,1234,93,76,19.5,47,0.23,8.121361,60,149.93
101904,"pseudo1",415495.8252,7892567.848,0,NA,20.8,1.1,29.7,10.9,1354,103,65,19.4,49,0.2,41.29649,26,1303.15
101905,"pseudo1",293895.8252,8293047.848,0,NA,24.6,0.75,31.4,17.2,1582,107,44,19.4,69,0.08,1.899451,46,84.3386
101906,"pseudo1",387255.8252,8086167.848,0,NA,23.8,0.85,30.9,15.5,4142,76,322,17.6,12,0.77,0,50,0
101907,"pseudo1",401655.8252,8010967.848,0,NA,23.6,0.93,31.1,14.5,2894,84,200,18.2,24,0.55,1.660518,0,310.4078
101908,"pseudo1",318295.8252,8177287.848,0,NA,20.5,0.93,28.5,11.7,1707,91,98,19,44,0.24,34.47366,16,873.3808
101909,"pseudo1",415575.8252,7942967.848,0,NA,23.9,0.98,31.6,14.1,1982,98,102,18.9,44,0.26,0.159403,96,4.690416
101910,"pseudo1",374775.8252,7968007.848,0,NA,20.8,1.05,29.6,10.9,1543,91,107,19.2,37,0.34,27.90969,80,489.8541
101911,"pseudo1",350375.8252,7988967.848,0,NA,21,1.05,30.1,10.6,1170,90,78,19.6,46,0.24,6.991231,29,143.7741
101912,"pseudo1",364295.8252,7968167.848,0,NA,22.9,1.03,31.6,12.3,1390,98,71,19.4,52,0.2,44.30573,38,972.4814
101913,"pseudo1",343335.8252,8102327.848,0,NA,20,0.95,28.8,10.6,1344,95,64,19.4,50,0.19,22.99575,73,534.2303
101914,"pseudo1",386615.8252,8042087.848,0,NA,22,0.94,29.9,13.3,3438,75,284,17.8,10,0.81,38.40461,99,1445.68
101915,"pseudo1",351415.8252,8008807.848,0,NA,19.3,1.05,28.5,9.6,1961,74,162,18.7,20,0.6,7.54331,50,314.792
101916,"pseudo1",421975.8252,7968327.848,0,NA,21.1,0.9899999,29,12.5,2569,89,172,18.4,23,0.56,44.7156,37,1897.372
101917,"pseudo1",321015.8252,8193127.848,0,NA,23.3,0.84,30.2,15.2,2345,89,131,18.6,41,0.28,6.21706,49,183.7063
101918,"pseudo1",290695.8252,8208807.848,0,NA,18.5,0.96,26.9,10.2,2205,84,157,18.6,29,0.46,7.883158,0,503.1332
101919,"pseudo1",394135.8252,8006007.848,0,NA,23.7,0.94,31.4,14.3,2795,86,191,18.2,25,0.52,0,50,0
101920,"pseudo1",428855.8252,7891447.848,0,NA,21.1,1.08,29.7,11.3,1481,104,70,19.2,48,0.22,27.82026,95,1395.692
101921,"pseudo1",414055.8252,7920887.848,0,NA,24.1,1,32,13.9,1837,104,82,19,50,0.21,0.5439352,0,18.73499
101922,"pseudo1",351335.8252,8133207.848,0,NA,21.9,0.9,29.9,12.9,1671,95,87,19.1,50,0.2,14.67153,41,347.3975
