siteid,spid,x,y,occ,group,cti,disturb,mi,rainann,raindq,rugged,soildepth,soilfert,solrad,tempann,tempmin,topo,vegsys
100696,pseudo1,152.2609821,-30.67386947,0,NA,1479,3,87,1254,180,97,1019,2,89,159,24,-31,2
100697,pseudo1,151.14942,-31.1972749,0,NA,1669,3,55,816,186,33,1029,2,92,139,-11,-19,3
100698,pseudo1,151.8562872,-29.87527149,0,NA,1289,4,78,936,174,14,1049,1,90,122,2,-1,9
100699,pseudo1,151.7420733,-29.85638573,0,NA,1819,4,69,862,168,3,1039,5,92,128,0,-1,9
100700,pseudo1,152.1566607,-31.84838406,0,NA,1719,3,83,1004,138,40,990,2,85,171,47,-20,2
100701,pseudo1,153.5056438,-28.30865249,0,NA,1389,4,90,1846,240,23,1129,5,90,199,84,-13,9
100702,pseudo1,152.1027014,-29.18369284,0,NA,1249,3,85,1120,174,32,1070,2,88,130,9,1,3
100703,pseudo1,151.073877,-31.76474711,0,NA,1609,4,47,670,150,15,980,2,90,162,27,-1,9
100704,pseudo1,151.9372261,-30.35371082,0,NA,1249,3,68,780,138,24,970,2,89,122,0,1,3
100705,pseudo1,152.1926336,-29.47327454,0,NA,1119,1,92,1582,228,31,1059,2,83,132,6,27,3
100706,pseudo1,152.1800431,-32.58492882,0,NA,1569,3,79,1318,282,1,1299,1,85,172,53,0,5
100707,pseudo1,153.4318994,-28.90220504,0,NA,1389,4,88,1804,258,41,1169,4,86,191,72,1,9
100708,pseudo1,151.713295,-31.60286914,0,NA,1399,3,78,882,126,86,939,2,81,165,40,-16,1
100709,pseudo1,152.2726733,-31.74496203,0,NA,1109,4,90,1276,180,24,1090,2,85,172,52,26,9
100710,pseudo1,151.5415244,-31.31868338,0,NA,1349,4,81,1026,228,14,1080,2,88,112,-6,2,9
100711,pseudo1,152.1539628,-30.36000608,0,NA,1349,3,84,926,144,25,1049,5,88,112,0,-2,3
100712,pseudo1,153.3716448,-28.43096029,0,NA,1249,3,91,1792,204,25,1179,2,88,193,71,-5,2
100713,pseudo1,151.2573387,-30.90859252,0,NA,1229,4,58,804,174,21,970,1,92,126,-31,4,9
100714,pseudo1,152.7753943,-31.29350236,0,NA,1199,3,90,1448,216,45,1070,2,80,177,74,18,9
100715,pseudo1,151.62696,-30.91758574,0,NA,1469,4,70,836,168,5,1039,2,91,117,-4,0,9
100716,pseudo1,151.9830916,-29.45348945,0,NA,1299,3,78,990,168,22,1039,2,91,132,5,-2,3
100717,pseudo1,151.760959,-31.87536372,0,NA,1249,4,83,1060,162,22,1070,2,90,135,-8,5,2
100718,pseudo1,152.7681997,-29.31409454,0,NA,1879,4,72,1130,156,6,1090,4,89,188,56,-2,9
100719,pseudo1,151.9938834,-31.63434541,0,NA,1209,3,91,1274,168,36,970,2,85,150,12,5,9
100720,pseudo1,152.0118699,-32.48150678,0,NA,1239,3,83,1400,258,42,970,2,78,168,53,-10,3
100721,pseudo1,152.1719492,-30.69994981,0,NA,1099,1,85,1140,168,111,949,2,84,152,9,-6,3
100722,pseudo1,151.1476214,-31.46527287,0,NA,1339,4,62,876,204,34,1029,2,88,143,-6,-9,3
100723,pseudo1,152.2555862,-28.83385656,0,NA,1409,4,75,1060,156,11,1100,1,91,163,34,0,9
100724,pseudo1,152.9021987,-31.34386439,0,NA,1699,1,88,1436,228,1,1309,1,87,180,58,0,5
100725,pseudo1,152.0829163,-29.75026573,0,NA,1469,3,89,1156,180,13,1039,2,87,123,4,0,3
100726,pseudo1,153.0685733,-30.06592777,0,NA,1219,3,87,1576,192,48,1070,2,83,176,65,9,2
100727,pseudo1,153.3293767,-28.27088096,0,NA,1489,3,94,2316,282,33,1210,2,85,197,75,-11,9
100728,pseudo1,152.243895,-29.0595864,0,NA,1579,3,69,956,138,95,1000,1,92,158,26,-43,3
100729,pseudo1,151.442599,-32.05972474,0,NA,1189,1,95,2182,456,133,1000,5,55,102,-10,-1,1
100730,pseudo1,151.2186678,-32.49589593,0,NA,1379,4,54,762,144,7,1029,2,86,173,30,0,9
100731,pseudo1,151.3868411,-32.21350881,0,NA,1499,4,75,1118,180,32,1100,2,87,167,46,-4,9
100732,pseudo1,152.0892116,-30.976941,0,NA,1059,1,64,734,96,69,990,2,87,159,24,34,4
100733,pseudo1,152.2681767,-32.36729288,0,NA,1509,3,82,1334,234,13,1110,2,84,168,44,0,2
100734,pseudo1,152.4093702,-30.08391421,0,NA,1159,2,89,1242,168,40,1059,2,84,127,4,25,2
100735,pseudo1,152.2349017,-31.90234338,0,NA,1249,4,75,978,144,9,1059,2,89,172,38,5,9
100736,pseudo1,152.5973285,-31.95450406,0,NA,1312,4,83,1302,234,1,1110,3,86,174,49,0,9
100737,pseudo1,152.2834651,-32.48420475,0,NA,1312,4,80,1332,258,12,1139,2,86,170,49,0,9
100738,pseudo1,152.2627807,-30.58753455,0,NA,1119,1,92,1256,180,121,959,2,73,139,-11,24,2
100739,pseudo1,152.0685272,-29.75206437,0,NA,1389,1,86,1104,174,8,1049,2,91,124,4,1,3
100740,pseudo1,151.5954838,-31.73866677,0,NA,1129,4,65,844,138,43,980,2,78,148,7,4,9
100741,pseudo1,152.6611804,-28.53708029,0,NA,1249,4,76,1144,144,15,1080,2,92,180,44,3,9
100742,pseudo1,153.1333245,-29.60457556,0,NA,1539,3,78,1254,192,7,1110,2,89,188,71,-2,3
100743,pseudo1,151.1467221,-31.52912474,0,NA,1179,4,65,932,222,24,1009,3,91,136,-13,2,9
100744,pseudo1,152.9138899,-29.50654945,0,NA,1329,3,72,1106,156,15,1080,2,89,188,62,3,3
100745,pseudo1,152.5703489,-31.95270542,0,NA,1419,3,83,1286,228,1,1120,2,86,173,48,1,7
100746,pseudo1,152.7043479,-28.79428639,0,NA,1279,4,81,1198,144,57,1090,2,89,178,46,0,9
100747,pseudo1,152.799676,-29.21337047,0,NA,1169,3,80,1238,162,32,1090,1,89,176,50,11,3
100748,pseudo1,152.7646024,-30.12618234,0,NA,1389,3,76,1212,168,76,1009,2,96,172,54,-34,3
100749,pseudo1,151.9390248,-29.84469454,0,NA,1679,4,68,860,150,8,1000,1,92,131,0,-3,9
100750,pseudo1,152.2933577,-31.80881389,0,NA,1139,3,83,1108,162,39,1100,2,87,172,55,15,7
100751,pseudo1,152.5712482,-30.15226268,0,NA,1259,4,87,1354,174,22,1139,2,88,144,-4,-3,2
100752,pseudo1,152.3347265,-30.60731964,0,NA,1059,1,91,1382,198,83,1080,2,79,142,-9,42,1
100753,pseudo1,152.9660506,-30.29525489,0,NA,1079,3,89,1988,234,89,1149,3,92,168,53,19,2
100754,pseudo1,152.2016268,-32.14695898,0,NA,1329,4,74,1026,168,13,1059,2,89,168,40,-2,9
100755,pseudo1,152.7223343,-29.57040132,0,NA,1379,4,63,1016,126,13,1070,4,90,191,62,-11,9
100756,pseudo1,152.4669268,-29.90135183,0,NA,1179,3,72,1102,150,32,1019,2,92,163,31,16,3
100757,pseudo1,152.3994777,-30.20712133,0,NA,1359,3,85,1060,150,22,1090,2,89,125,3,2,3
100758,pseudo1,151.8886628,-30.36180472,0,NA,1179,4,79,860,156,34,970,5,81,114,-1,20,9
100759,pseudo1,153.2187601,-29.81231895,0,NA,1389,2,78,1290,180,3,1110,2,89,188,74,1,5
100760,pseudo1,152.4147662,-30.79797591,0,NA,1209,4,92,1250,174,95,939,2,74,173,56,0,2
100761,pseudo1,151.5289339,-31.08665829,0,NA,1309,4,70,854,192,6,1059,4,90,117,-5,2,9
100762,pseudo1,152.4957051,-31.84748474,0,NA,1629,4,83,1216,192,7,1090,2,86,173,45,-3,9
100763,pseudo1,152.7951794,-29.91124437,0,NA,1229,3,81,1106,144,60,980,2,80,184,65,9,3
100764,pseudo1,152.3850885,-30.48411252,0,NA,1269,3,95,1922,282,31,1179,4,85,99,-5,5,3
100765,pseudo1,152.609919,-30.52548133,0,NA,1079,3,93,2380,336,76,1039,2,73,150,7,57,2
100766,pseudo1,151.7726502,-30.9688471,0,NA,1439,4,65,760,144,14,1009,2,90,120,-4,-6,9
100767,pseudo1,153.0326004,-28.66478402,0,NA,1099,4,81,1218,150,30,1019,5,87,186,47,34,9
100768,pseudo1,152.3104448,-32.36909153,0,NA,1209,3,84,1440,258,30,1110,2,87,168,55,9,2
100769,pseudo1,151.6611343,-31.17838914,0,NA,1229,4,73,844,174,18,1049,4,89,111,-5,8,9
100770,pseudo1,151.6944092,-31.45448101,0,NA,1279,3,88,1118,216,14,1059,2,87,121,-14,3,7
100771,pseudo1,150.8796234,-31.97608779,0,NA,1489,4,43,618,126,7,980,3,89,171,41,0,9
100772,pseudo1,151.6809194,-31.35915287,0,NA,1179,4,93,1242,252,20,1080,4,83,108,-6,10,9
100773,pseudo1,153.0110167,-30.90679388,0,NA,1312,4,83,1392,228,0,1120,3,88,184,66,0,9
100774,pseudo1,150.9281868,-31.46617219,0,NA,1459,4,50,734,168,12,1019,3,90,144,-5,-4,9
100775,pseudo1,152.2241099,-32.60561322,0,NA,1429,1,78,1304,282,2,1110,4,85,172,55,0,5
100776,pseudo1,152.5865367,-28.70345487,0,NA,1259,4,68,1028,126,10,1059,2,91,184,38,2,9
100777,pseudo1,152.6917573,-28.37340368,0,NA,1309,3,81,1084,144,32,959,2,85,174,43,0,2
100778,pseudo1,153.4121143,-28.84015182,0,NA,1299,4,86,1704,240,8,1110,4,89,184,61,4,9
100779,pseudo1,151.6584363,-32.63798882,0,NA,1229,4,69,1018,186,15,1039,2,87,172,46,5,9
100780,pseudo1,150.9605624,-31.58937931,0,NA,1129,4,63,882,210,32,1039,5,89,132,-15,20,9
100781,pseudo1,153.2313506,-28.54607351,0,NA,1139,3,88,1672,180,49,1159,5,86,184,54,15,2
100782,pseudo1,151.9974807,-29.75835963,0,NA,2019,3,62,788,126,13,1009,1,91,143,0,-7,7
100783,pseudo1,152.2124187,-29.2475447,0,NA,1139,3,74,1062,156,81,959,2,93,157,21,-1,3
100784,pseudo1,152.3302299,-32.29534712,0,NA,1239,3,83,1352,234,25,1120,2,88,168,50,-7,2
100785,pseudo1,153.1198346,-29.14052538,0,NA,1529,3,72,1054,144,2,1080,2,91,194,70,0,3
100786,pseudo1,152.8203604,-29.37884572,0,NA,1329,4,75,1178,168,8,1100,4,89,187,58,3,9
100787,pseudo1,152.9786411,-28.46693317,0,NA,1469,3,90,1468,168,58,1009,2,81,186,44,-26,2
100788,pseudo1,151.8958573,-30.94546473,0,NA,1319,4,80,912,150,12,1059,2,89,122,-4,2,9
100789,pseudo1,152.0136685,-32.54445933,0,NA,1729,3,77,1248,252,2,1120,2,85,172,50,0,7
100790,pseudo1,153.5407174,-28.52898639,0,NA,1199,4,91,1808,240,20,1120,2,85,198,82,5,9
100791,pseudo1,152.4525377,-29.9490159,0,NA,1459,3,69,1038,138,36,1039,2,94,167,38,-18,7
100792,pseudo1,152.1018021,-30.73142608,0,NA,1149,1,92,1260,192,38,1019,5,78,123,-1,21,2
100793,pseudo1,152.3581089,-29.13782741,0,NA,1359,4,63,978,132,41,980,2,97,178,42,-5,9
100794,pseudo1,152.0397489,-30.56055489,0,NA,1369,4,68,810,132,55,980,2,92,128,-14,0,9
100795,pseudo1,153.1279285,-29.89055997,0,NA,1299,2,83,1414,156,39,1070,2,88,182,71,-6,2
100796,pseudo1,152.9408696,-30.32763048,0,NA,1109,2,93,2556,372,71,1080,2,83,153,18,21,2
100797,pseudo1,151.4102234,-31.1523088,0,NA,1349,3,73,942,222,12,990,1,90,115,-6,1,9
100798,pseudo1,151.7753482,-29.74576912,0,NA,2049,4,64,814,156,10,1029,1,92,130,1,-9,9
100799,pseudo1,152.3122434,-28.47502707,0,NA,1199,4,58,854,126,21,1029,2,92,176,36,-15,3
100800,pseudo1,152.6593818,-29.43190572,0,NA,1159,3,73,1150,156,23,980,2,88,187,54,6,3
100801,pseudo1,152.6171136,-31.85198135,0,NA,1039,4,85,1336,222,1,1110,3,87,175,49,0,9
100802,pseudo1,152.771797,-30.63879591,0,NA,1099,4,86,1522,210,35,1129,2,91,185,78,24,7
100803,pseudo1,152.749314,-31.37803863,0,NA,1699,3,85,1262,210,9,1120,2,88,179,54,-5,2
100804,pseudo1,151.8041265,-32.56424441,0,NA,1259,4,70,1038,204,5,1059,2,86,173,49,3,9
100805,pseudo1,151.9363268,-29.81231895,0,NA,1289,4,72,894,156,36,1029,5,92,128,2,1,9
100806,pseudo1,152.7879848,-30.40856947,0,NA,1199,3,89,1798,228,60,1100,2,82,184,75,5,2
100807,pseudo1,153.1612035,-28.33203486,0,NA,1399,3,92,1676,186,29,1149,2,85,188,55,-7,7
100808,pseudo1,151.6791207,-31.6172583,0,NA,1299,4,53,756,102,38,990,2,92,170,50,4,9
100809,pseudo1,151.685416,-31.3726427,0,NA,1459,4,89,1118,222,30,1110,4,87,118,-6,-8,9
100810,pseudo1,151.8580858,-31.45538033,0,NA,1199,3,88,1114,156,34,1090,2,88,135,-12,1,2
100811,pseudo1,151.1763997,-31.65143253,0,NA,1359,2,78,1070,258,87,949,5,78,120,-15,-2,2
100812,pseudo1,152.5298794,-29.08117013,0,NA,1829,4,67,1060,138,18,1009,2,90,185,44,-14,9
100813,pseudo1,153.1746933,-30.07582031,0,NA,1279,3,81,1546,198,7,1139,2,89,187,74,3,3
100814,pseudo1,151.1404268,-31.59027863,0,NA,1219,4,76,1034,252,47,839,4,81,126,-24,-8,9
100815,pseudo1,151.9947828,-32.72342441,0,NA,1312,4,74,1218,276,1,1100,2,85,173,55,0,9
100816,pseudo1,153.0793651,-29.09825724,0,NA,1419,3,63,918,126,4,1070,2,92,193,66,1,3
100817,pseudo1,153.1297272,-29.65763556,0,NA,1609,3,77,1244,192,3,1120,2,90,189,70,-1,3
100818,pseudo1,152.428256,-29.88156675,0,NA,1279,3,64,980,132,60,1049,2,93,179,53,-18,4
100819,pseudo1,152.162956,-28.92828538,0,NA,1289,2,87,1196,186,22,1049,1,86,134,12,5,3
100820,pseudo1,152.3814912,-30.11179319,0,NA,1649,4,87,1162,162,4,1110,2,89,125,4,-2,9
100821,pseudo1,153.3248801,-29.18189419,0,NA,1249,3,84,1632,252,27,1139,2,89,190,72,1,3
100822,pseudo1,152.9930302,-28.83475589,0,NA,1639,4,69,970,120,1,1059,5,91,198,65,0,9
100823,pseudo1,153.1234319,-28.78978978,0,NA,1199,4,79,1168,138,11,1120,4,91,195,65,11,9
100824,pseudo1,152.5046984,-29.08926402,0,NA,1312,3,65,1096,144,58,959,2,97,178,44,11,3
100825,pseudo1,151.4111228,-32.38797729,0,NA,1119,4,73,1068,180,50,949,2,84,153,22,10,9
100826,pseudo1,152.6998512,-28.81047419,0,NA,1209,4,74,1146,132,20,1070,2,91,179,45,-3,9
100827,pseudo1,151.8625824,-32.67755899,0,NA,1309,3,74,1154,234,4,1090,2,86,170,53,4,3
100828,pseudo1,151.2249631,-31.80161932,0,NA,1729,3,69,840,192,43,1009,5,82,122,-22,-30,3
100829,pseudo1,152.056836,-32.37268881,0,NA,1139,2,88,1570,270,53,1039,2,88,161,48,15,2
100830,pseudo1,153.3635509,-29.44089894,0,NA,1429,4,80,1428,228,8,1309,1,89,187,76,1,9
100831,pseudo1,153.0856604,-28.43275893,0,NA,1159,1,89,1776,198,82,1090,5,96,168,52,16,2
100832,pseudo1,151.3068014,-32.07501322,0,NA,1509,3,87,1192,252,63,1019,2,85,135,-8,-18,2
100833,pseudo1,151.9606085,-32.45182915,0,NA,1409,3,78,1224,228,18,1029,2,85,172,46,-12,3
100834,pseudo1,152.9903323,-30.82135828,0,NA,1529,4,83,1368,222,0,1320,1,88,184,66,0,9
100835,pseudo1,151.5891885,-31.46347423,0,NA,1439,2,90,1156,246,32,1039,2,89,112,-5,-14,3
100836,pseudo1,153.1953777,-28.72593792,0,NA,1509,4,81,1314,150,14,1080,5,92,198,71,0,9
100837,pseudo1,151.8589851,-30.87801557,0,NA,1449,3,80,934,156,16,1039,2,90,122,-3,-2,3
100838,pseudo1,152.1125939,-32.62449899,0,NA,1359,4,78,1304,282,4,1120,2,85,170,55,1,9
100839,pseudo1,151.8221129,-32.65417661,0,NA,1489,2,74,1130,228,10,1090,2,85,171,53,-5,3
100840,pseudo1,152.031655,-29.08386809,0,NA,1209,3,68,922,156,38,1019,2,93,137,9,-4,3
100841,pseudo1,152.6162143,-28.6108247,0,NA,1279,4,71,1048,126,13,1100,2,93,183,39,2,9
100842,pseudo1,151.5550143,-30.62170879,0,NA,1599,4,63,792,162,2,1039,2,92,125,-8,0,9
100843,pseudo1,153.0604794,-30.20802065,0,NA,1359,3,86,1674,210,32,1169,3,89,182,75,-2,2
100844,pseudo1,152.9885336,-30.25658404,0,NA,1149,3,89,1822,216,74,1129,3,83,176,66,-11,2
100845,pseudo1,152.9732451,-30.32673116,0,NA,1229,3,90,1964,228,25,1200,2,86,179,72,-6,2
100846,pseudo1,151.5828933,-32.61910306,0,NA,1419,4,64,936,180,12,1059,3,87,177,46,0,9
100847,pseudo1,151.660235,-32.45272848,0,NA,1469,4,63,986,162,37,1009,2,91,170,42,-11,9
100848,pseudo1,152.1018021,-29.43730166,0,NA,1329,3,87,1230,192,30,1059,2,88,135,4,-2,3
100849,pseudo1,151.0828702,-31.30699219,0,NA,1229,3,58,824,192,71,949,5,90,131,-20,-13,3
100850,pseudo1,152.0208631,-31.49854779,0,NA,1109,3,84,1144,150,63,910,2,92,151,13,31,3
100851,pseudo1,152.0136685,-31.17838914,0,NA,1459,4,85,836,108,58,939,2,69,124,-21,-1,9
100852,pseudo1,152.1431709,-29.98408946,0,NA,1059,3,53,772,108,91,889,2,89,147,-2,56,3
100853,pseudo1,152.9885336,-29.99218336,0,NA,1369,4,75,1286,162,16,1080,2,90,187,70,-5,9
100854,pseudo1,152.3680014,-30.32403319,0,NA,1309,3,85,1032,156,74,970,2,87,120,1,8,3
100855,pseudo1,152.2474923,-29.01012368,0,NA,1339,3,84,1188,174,31,1059,1,90,143,12,-5,3
100856,pseudo1,152.3635048,-30.37709319,0,NA,1349,3,91,1198,192,10,1110,5,88,111,0,3,7
100857,pseudo1,151.5828933,-31.18828168,0,NA,1199,4,72,852,186,18,970,2,90,114,-4,6,9
100858,pseudo1,152.2681767,-30.97514235,0,NA,1269,4,93,1408,186,21,1129,2,87,126,-14,2,9
100859,pseudo1,152.9777418,-29.463382,0,NA,1369,3,75,1130,156,6,1100,2,89,190,67,3,3
100860,pseudo1,153.1531096,-29.40042945,0,NA,1249,3,80,1314,174,29,1080,2,87,188,68,2,3
100861,pseudo1,152.3662028,-30.08931014,0,NA,1139,1,93,1254,180,59,949,2,79,114,2,32,2
100862,pseudo1,152.880615,-29.21786708,0,NA,1329,3,72,1088,144,15,1090,2,90,186,54,-2,3
100863,pseudo1,152.5307787,-28.65039487,0,NA,1419,3,78,1126,150,29,1090,4,91,170,39,4,7
100864,pseudo1,152.7843875,-29.71789013,0,NA,1399,3,61,950,120,14,1049,1,89,189,63,-3,3
100865,pseudo1,152.4858126,-30.64329252,0,NA,1169,2,89,1588,222,64,1039,2,83,158,25,6,2
100866,pseudo1,153.1863845,-29.56500539,0,NA,1269,4,80,1360,210,2,1129,2,89,190,73,0,9
100867,pseudo1,151.3832438,-31.28630778,0,NA,1269,3,68,912,222,40,1000,2,93,122,-14,-20,3
100868,pseudo1,152.1125939,-30.56864879,0,NA,1319,4,79,916,138,9,1049,2,89,128,-7,3,9
100869,pseudo1,151.4488943,-32.69734407,0,NA,1509,4,51,718,132,6,1029,2,87,176,44,-2,9
100870,pseudo1,152.3760953,-31.75755253,0,NA,1129,4,91,1434,210,32,1080,2,85,172,61,29,9
100871,pseudo1,153.1261299,-29.87796946,0,NA,1089,3,85,1416,162,30,1019,2,87,179,67,29,2
100872,pseudo1,150.9713543,-31.60466779,0,NA,1119,4,70,960,228,58,1019,5,83,124,-24,13,9
100873,pseudo1,151.4623841,-32.12987186,0,NA,1209,3,90,1524,252,52,1110,3,89,150,15,6,2
100874,pseudo1,152.0640306,-31.89604813,0,NA,1789,4,73,1008,138,18,1059,2,88,171,37,-10,9
100875,pseudo1,152.5982279,-28.75921283,0,NA,1209,4,70,1048,126,25,1059,2,90,184,39,3,9
100876,pseudo1,151.7699522,-32.11458339,0,NA,1119,3,93,1754,300,65,949,2,73,122,-17,34,1
100877,pseudo1,152.4390479,-31.08575897,0,NA,1239,4,88,1364,168,59,1049,2,87,176,67,-12,9
100878,pseudo1,152.5011011,-30.09920268,0,NA,1149,2,76,1204,144,45,1009,2,93,148,-3,18,3
100879,pseudo1,152.0370509,-30.56325286,0,NA,1029,3,67,804,126,133,920,2,86,128,-15,63,3
100880,pseudo1,152.4741214,-28.70705215,0,NA,1249,3,84,1262,168,45,1070,4,84,166,44,3,2
100881,pseudo1,151.925535,-30.80517049,0,NA,1239,3,76,902,138,76,959,2,89,127,-22,2,3
100882,pseudo1,152.1404729,-28.74482368,0,NA,1359,3,61,858,138,104,959,1,95,160,32,-3,3
100883,pseudo1,152.0694265,-31.2746166,0,NA,1119,1,93,1224,162,33,1039,2,84,123,-15,15,3
100884,pseudo1,153.1944784,-28.34552469,0,NA,1649,4,91,1668,192,15,1110,4,89,195,68,-9,9
100885,pseudo1,152.1548621,-29.79433251,0,NA,1249,2,83,982,138,69,910,2,91,153,8,-27,3
100886,pseudo1,152.6422946,-30.74491591,0,NA,1439,4,86,1438,204,25,1139,2,87,184,71,-21,9
100887,pseudo1,151.8994546,-30.78628473,0,NA,1019,1,65,832,126,105,759,2,84,143,-8,40,4
100888,pseudo1,152.5667516,-31.58578202,0,NA,1599,2,94,1736,276,32,1169,2,85,165,53,-22,2
100889,pseudo1,151.0828702,-31.42120609,0,NA,1389,4,53,794,180,12,1019,3,92,145,-4,-3,9
100890,pseudo1,151.4686794,-31.43289728,0,NA,1339,4,86,1116,252,6,1100,4,88,106,-8,1,9
100891,pseudo1,153.4202082,-28.38059825,0,NA,1229,4,89,1802,216,18,1110,2,92,198,79,4,9
100892,pseudo1,151.5873899,-32.03094644,0,NA,1119,1,94,1636,294,100,1070,2,66,123,-19,46,2
100893,pseudo1,152.9219838,-29.62975657,0,NA,1312,4,64,992,144,13,1080,2,90,190,67,-6,9
100894,pseudo1,152.4129675,-29.5371264,0,NA,1089,1,91,1872,252,132,970,2,94,136,3,32,3
100895,pseudo1,151.2924122,-31.14241626,0,NA,1619,3,57,736,156,50,910,2,87,146,-4,-26,3
100896,pseudo1,151.3697539,-32.50758712,0,NA,1299,4,56,796,144,13,980,2,85,172,33,-3,9
100897,pseudo1,152.0613326,-30.71254032,0,NA,1189,2,85,904,138,141,839,2,69,144,-6,-8,3
100898,pseudo1,152.8212597,-31.51833287,0,NA,1429,3,88,1492,246,2,1139,3,87,178,55,1,5
100899,pseudo1,152.1998282,-30.55246099,0,NA,1289,3,90,1190,180,24,1100,2,88,121,0,1,2
100900,pseudo1,152.2591834,-31.7764383,0,NA,1349,4,91,1182,168,51,990,2,82,173,65,-6,9
100901,pseudo1,152.5604563,-29.75566166,0,NA,1259,3,71,1078,126,27,1070,2,88,183,57,4,3
100902,pseudo1,153.009218,-30.5569576,0,NA,1629,4,82,1500,204,7,1149,2,88,185,69,-6,9
100903,pseudo1,152.3868872,-29.86447963,0,NA,1149,2,74,1114,150,23,1049,2,93,159,23,14,3
100904,pseudo1,150.9380794,-31.19097965,0,NA,1409,4,39,646,132,4,1009,2,92,164,19,1,9
100905,pseudo1,151.6656309,-32.43204407,0,NA,1139,4,71,1074,168,51,949,2,85,165,52,26,9
100906,pseudo1,151.1674065,-31.53092338,0,NA,1409,3,73,1050,252,61,949,1,87,121,-16,-6,3
100907,pseudo1,152.2843645,-31.96619525,0,NA,1239,4,79,1080,168,38,1059,2,91,170,43,-2,9
100908,pseudo1,153.2646255,-29.75296369,0,NA,1419,1,80,1420,210,1,1129,4,90,188,75,0,5
100909,pseudo1,152.6342007,-29.37165115,0,NA,1239,4,72,1192,168,54,1059,2,90,184,51,-5,3
100910,pseudo1,151.8589851,-30.16035658,0,NA,1369,3,78,910,174,39,970,1,92,108,-2,-11,3
100911,pseudo1,150.93718,-31.27281795,0,NA,1259,4,38,632,132,11,990,2,92,162,17,3,9
100912,pseudo1,151.9884875,-29.58389115,0,NA,1129,4,80,1004,168,27,939,2,88,122,4,29,7
100913,pseudo1,151.8427973,-32.0417383,0,NA,1109,4,72,1054,144,48,990,2,83,172,57,24,9
100914,pseudo1,152.6063218,-30.24579218,0,NA,1189,3,84,1270,174,31,1029,2,86,144,-5,13,2
100915,pseudo1,151.4605855,-31.49045389,0,NA,1259,2,80,1032,240,19,1000,1,90,109,-7,6,3
100916,pseudo1,152.0802184,-31.2134627,0,NA,1129,3,91,1084,144,53,850,2,73,124,-16,25,3
100917,pseudo1,152.190835,-29.92653285,0,NA,1229,1,84,1042,150,37,1039,2,84,133,-2,4,3
100918,pseudo1,151.0612865,-31.90054474,0,NA,1349,4,44,634,132,15,990,2,90,168,39,-1,9
100919,pseudo1,151.2060773,-30.93737083,0,NA,1159,4,63,848,192,43,1049,2,90,123,-31,6,9
100920,pseudo1,152.6261068,-30.86182778,0,NA,1209,4,78,1054,150,15,1049,2,90,183,65,13,9
100921,pseudo1,153.2718201,-29.60007895,0,NA,1279,3,84,1608,246,39,1120,2,90,186,73,-20,3
100922,pseudo1,152.5208862,-32.20991152,0,NA,1439,4,79,1236,240,2,1100,4,86,171,49,0,9
100923,pseudo1,151.2573387,-31.63884202,0,NA,1229,3,72,962,228,33,1049,5,87,122,-24,-5,3
100924,pseudo1,151.1314336,-30.923881,0,NA,1219,4,61,870,192,12,990,1,90,128,-28,6,7
100925,pseudo1,153.0424929,-30.19003421,0,NA,1139,2,85,1594,210,33,1090,3,84,182,75,28,2
100926,pseudo1,152.9642519,-31.02460507,0,NA,1219,4,82,1300,216,0,1100,3,88,183,64,0,9
100927,pseudo1,151.6494431,-31.53362135,0,NA,1349,4,86,1084,216,31,1000,2,88,121,-20,-7,9
100928,pseudo1,152.2537875,-30.31503997,0,NA,1209,2,89,840,120,105,889,2,87,122,2,-33,3
100929,pseudo1,152.7052472,-28.68366978,0,NA,1319,4,80,1236,144,27,1100,2,92,177,45,-6,9
100930,pseudo1,152.6602811,-29.17739758,0,NA,1249,3,72,1130,150,24,1120,2,90,181,47,-4,3
100931,pseudo1,151.2483455,-31.19008032,0,NA,1089,3,62,850,192,53,990,2,88,144,-6,29,3
100932,pseudo1,153.1692974,-28.56585859,0,NA,1199,4,87,1580,174,19,1149,2,89,182,53,12,9
100933,pseudo1,152.9183865,-28.82756131,0,NA,1289,4,68,958,108,16,1039,1,92,191,55,3,9
100934,pseudo1,152.2214119,-28.85454097,0,NA,1459,2,70,1012,150,16,1059,1,93,161,32,-2,3
100935,pseudo1,152.6476906,-29.53802573,0,NA,1419,4,69,1098,132,5,1100,2,89,191,59,-1,9
100936,pseudo1,151.9552126,-32.65417661,0,NA,1449,4,73,1166,252,5,1090,2,87,173,52,-3,9
100937,pseudo1,153.1540089,-30.10639726,0,NA,1369,3,87,1734,210,30,1120,3,82,185,79,-7,2
100938,pseudo1,151.3877404,-30.90319659,0,NA,1399,4,57,756,156,14,959,1,92,123,-10,-2,9
100939,pseudo1,152.8113672,-30.83215015,0,NA,1369,2,84,1284,192,15,1120,2,88,183,68,-8,2
100940,pseudo1,152.190835,-30.85912981,0,NA,1399,3,91,1292,180,10,1039,2,90,126,-11,1,3
100941,pseudo1,151.3130966,-31.18648304,0,NA,1679,3,61,842,198,32,949,2,90,137,-14,-23,9
100942,pseudo1,151.6908119,-32.56604305,0,NA,1129,4,76,1076,192,21,1039,2,84,168,47,11,9
100943,pseudo1,152.3985784,-28.9903386,0,NA,1179,3,84,1212,162,35,1000,2,87,158,28,-4,2
